brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
EVGA,GTX 1070,"EVGA GeForce GTX 1070 FTW2 GAMING iCX, 08G-P4-6676-KR, 8GB GDDR5, RGB LED, 9 Thermal Sensors, Asynchronous Fan Control, Thermal Display LED System, Optimized Airflow Fin Design",625.0,4.0,,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-6676-kr/p/N82E16814487321?Description=gtx,1797 MHz,EVGA,1920,"10.50"" x 5.07""",NVIDIA,Double Fans,1607 MHz,1 x Dual-Link DVI-D,13-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"EVGA Double BIOSSimultaneous MultiProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA GSYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.6 SupportHDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC10 Phase Power DesignAdjustable RGB LEDAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with Lshaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6676-KR,4,OpenGL 4.6,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,2 x 8-Pin,SLI Ready,NONE,Dual Slot,Minimum of a 500-Watt power supplyTwo available 8-pin PCI-E power connectorsTotal Power Draw: 215 Watts,150W,Yes,-31,266.7,128.778,1797.0,1607.0,8008.0,31.0
PNY,GTX 1070,PNY GeForce GTX 1070 8GB XLR8 OC Dual Fan VCGGTX10708XGPB-OC-BB Video Card GPU,329.99,5.0,,https://www.newegg.com/p/1FT-000P-003F4?Description=gtx,NONE,PNY,NONE,NONE,NVIDIA,Double Fans,NONE,NONE,6-May-19,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,NONE,NONE,NONE,NONE,NONE,NONE,8GB,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,150W,NONE,292 (90% Positive),0.0,0.0,0.0,0.0,0.0,292.0
PNY,GTX 1070,PNY GeForce GTX 1070 DirectX 12 VCGGTX10708PB 8GB 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,319.0,,,https://www.newegg.com/pny-geforce-gtx-1070-vcggtx10708pb/p/1FT-000P-003N3?Description=gtx,1683 MHz,PNY,1920,"11.02"" x 4.96""",NVIDIA,Single Fan,1506 MHz,1 x DVI,14-Sep-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8 GBPS,NONE,NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,280 mm,7680 x 4320,256-Bit,8GB,GDDR5,VCGGTX10708PB,NONE,OpenGL 4.5,NONE,NONE,NONE,8-Pin,SLI Ready,NONE,Dual Slot,Minimum 500 W or greater system power supply. One 8-pin PCI Express supplementary power connector,150W,Yes,29 (90% Positive),279.908,125.984,1683.0,1506.0,8.0,29.0
EVGA,GTX 1070,"EVGA GeForce GTX 1070 SC GAMING ACX 3.0 Black Edition 8GB, 08G-P4-5173-KR, GDDR5, LED, DX12 OSD Support (PXOC) Video Graphics Card",620.0,,,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-5173-kr/p/1FT-001K-002M1?Description=gtx,NONE,EVGA,1920,"10.50"" x 4.38""",NVIDIA,Double Fans,1594 MHz,1 x Dual-Link DVI-D,13-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"Simultaneous Multi-Projection  VR Ready  NVIDIA Ansel  NVIDIA SLI w/ HB Bridge Support  NVIDIA G-SYNC  NVIDIA GameStream  NVIDIA GPU Boost 3.0  Microsoft DirectX 12  Vulkan API  OpenGL 4.5 Support  PCI Express 3.0  Max Digital Resolution - 7680 x 4320  HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI  Built for EVGA Precision XOC  EVGA ACX 3.0 Cooling",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-5173-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",GTX 1070 SC ACX3.0 Black Edition,NONE,8-Pin,SLI Ready,NONE,Dual Slot,"500W or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",150W,Yes,0 reviews,266.7,111.252,0.0,1594.0,8008.0,0.0
EVGA,GTX 1070,EVGA 08G-P4-6173-KR GeForce GTX 1070 SC GAMING ACX 3.0 8GB GDDR5 Graphics Card,399.0,,,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-6173-kr/p/1FT-001K-006V4?Description=gtx,1784 MHz,EVGA,1920,"10.50"" x 4.38""",NVIDIA,Double Fans,1594 MHz,1 x DVI,11-Nov-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,NONE,NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6173-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",GTX 1070 SC ACX3.0,NONE,NONE,2-Way SLI,NONE,Dual Slot,"500 Watts or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",150W,Yes,0 reviews,266.7,111.252,1784.0,1594.0,8008.0,0.0
MSI,GTX 1070,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti Titanium 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card - (OEM Packaging and Manual),499.99,,45.0,https://www.newegg.com/msi-geforce-gtx-1070-ti-gtx-1070-ti-gaming-8g/p/1FT-0009-004A6?Description=gtx,1683 MHz,MSI,2432,"10.98"" x 5.51""",NVIDIA,Double Fans,1607 MHz,1 x DL-DVI-D,8-Dec-19,DirectX 12,3 x DisplayPort,Yes,NONE,8008 MHz,"TWIN FROZR VI - Smooth heat pipes - Squared shape at bottom maximize heat transfer from the copper base plate - Zero Frozr - Stopping the fan in low-load situations, keeping a noise-free environment - Airflow Control technology - Deflectors thrusts air onto heat pipes for lower temperatures and better gaming TORX 2.0 FAN: Supremely silent - Dispersion fan blade: Steeper curved blade accelerating the airflow - Traditional fan blade: Provides steady airflow to massive heat sink below - Double ball bearing: Strong and lasting core for years of smooth gaming Military Class certified Components - Certified to MIL-STD-810G standards for top stability and quality - Built with Hi-c CAP, Solid CAP, and New SFC components",ATX,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,279 mm,NONE,256-Bit,8GB,GDDR5,GTX 1070 Ti GAMING 8G,4,OpenGL 4.5,NONE,NONE,NONE,"1 x 6-pin, 1 x 8-pin",2-Way SLI,RED DRAGON,Dual Slot,Power Consumption: 180W Recommended PSU: 500W,180W,Yes,0 reviews,278.892,139.954,1683.0,1607.0,8008.0,0.0
GIGABYTE,GTX 1070,Gigabyte GeForce GTX 1070 8GB Mini GDDR5 GV-N1070IXOC-8GD Video Card GPU,489.0,,,https://www.newegg.com/p/1FT-000A-000S1?Description=gtx,NONE,GIGABYTE,NONE,NONE,NVIDIA,Single Fan,NONE,NONE,4-Jun-20,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GeForce GTX 1070,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,8GB,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,150W,NONE,0 reviews,0.0,0.0,0.0,0.0,0.0,0.0
ASUS,GTX 1070,ASUS Cerberus GeForce GTX 1070 Ti CERBERUS-GTX1070TI-A8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,419.99,,75.0,https://www.newegg.com/asus-geforce-gtx-1070-ti-cerberus-gtx1070ti-a8g-gaming/p/1FT-000Y-004R1?Description=gtx,NONE,ASUS,2432,"10.63"" x 4.76""",NVIDIA,Double Fans,OC mode: 1670 MHz Gaming mode: 1607 MHz,1 x DL-DVI-D,12-Jul-20,NONE,2 x DisplayPort 1.4,NONE,None,8008 MHz,"1683 MHz Boost Clock featuring 8GB GDDR5 256-bit memory and 2432 CUDA cores powered by NVIDIA Pascal Unique wing-blade IP5X-certified fans with 0dB technology maximize cooling, and reliability testing on chart-topping titles to ensure gaming performance Auto-Extreme manufacturing technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components GPU Tweak II makes monitoring performance easier than ever, pushing clock speed performance up to 1721 MHz with just one click Aggressive metal backplate reinforces circuit board and protects sensitive components",ATX,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0,PCI Express 3.0,NONE,270 mm,7680 x 4320,256-Bit,8GB,GDDR5,CERBERUS-GTX1070TI-A8G-GAMING,NONE,OpenGL 4.5,NONE,CERBERUS-A8G-GAMING,NONE,8-Pin,NONE,Cerberus,2.5-slot,NONE,180W,Yes,0 reviews,270.002,120.904,0.0,1670.0,8008.0,0.0
ASUS,GTX 1070,ASUS ROG GeForce GTX 1070 Ti ROG-STRIX-GTX1070TI-A8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,429.99,,45.0,https://www.newegg.com/asus-geforce-gtx-1070-ti-rog-strix-gtx1070ti-a8g-gaming/p/1FT-000Y-004R4?Description=gtx,1759 MHz,ASUS,2432,"11.73"" x 5.28""",NVIDIA,Triple Fans,1683 MHz,1 x DVI-D,17-Jul-20,NONE,2 x DisplayPort,NONE,NONE,8008 MHz,MaxContact Technology that is 2X more contact with GPU for improved thermal transfer.Unique Wing-Blade IP5X-Certified Fans for maximum airflow and longer fan lifespan.ASUS FanConnect II equips with hybrid controlled fan headers for optimal system cooling.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.ASUS Aura Sync RGB LED synchronization enables a gaming system personalization.VR-friendly HDMI ports let you enjoy VR experiences anytime without having to swap cables.GPU Tweak II with XSplit Gamecaster provides intuitive performance tweaking and real-time streaming.,NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0b,PCI Express 3.0,NONE,298 mm,7680 x 4320,256-Bit,8GB,GDDR5,ROG-STRIX-GTX1070TI-A8G-GAMING,NONE,OpenGL 4.5,NONE,ROG-STRIX-A8G-GAMING,Graphics Card Only,8-Pin,SLI Ready,ROG,Triple Slot,NONE,180W,Yes,0 reviews,297.942,134.112,1759.0,1683.0,8008.0,0.0
MSI,GTX 1070,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti AERO 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,610.0,4.0,,https://www.newegg.com/msi-geforce-gtx-1070-ti-gtx-1070-ti-aero-8g/p/N82E16814137253?Description=gtx,1683 MHz,MSI,2432,"10.59"" x 4.37""",NVIDIA,Single Fan,1607 MHz,1 x DL-DVI-D,11-Jun-19,DirectX 12,3 x DisplayPort,Yes,NONE,8008 MHz,"""All Solid Capacitors10 years long lifetime under full load.Lower temperature and higher efficiency.Aluminum core for higher stability.Afterburner Overclocking UtilityWireless control through Android/iOS devices.Predator: In-game video recording.Kombustor: built-in DirectX12 benchmark.Supports multi-GPU setups.NVIDIA G-SYNCSynchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.GeForce GTX VR ReadyNVIDIAs unique set of features ensure you get the right level of performance, image quality and latency to ensure your VR experience is nothing short of amazing.""",ATX,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI,PCI Express 3.0 x16,NONE,269 mm,NONE,256-Bit,8GB,GDDR5,GTX 1070 Ti AERO 8G,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,2-Way SLI,NONE,Dual Slot,Power Consumption: 180WRecommended PSU: 500W,180W,Yes,-8,268.986,110.998,1683.0,1607.0,8008.0,8.0
MSI,GTX 1070,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 TI ARMOR 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,680.0,4.0,,https://www.newegg.com/msi-geforce-gtx-1070-ti-gtx-1070-ti-armor-8g/p/N82E16814137261?Description=gtx,1683 MHz,MSI,2432,"10.98"" x 5.51""",NVIDIA,Double Fans,1607 MHz,1 x DL-DVI-D,9-Sep-19,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,8008 MHz,"Armor 2X Thermal Design:TORX Fan- Dispersion fan blade Steep curved blade accelerating the airflow.- Traditional fan blade Provides steady airflow to massive heat sink below.Zero Frozr- Stopping the fan in low-load situations, keeping a noise-free environment.Advanced Airflow Control technology- Improves cooling efficiency by using advanced aerodynamics to focus airflow.Afterburner Overclocking Utility:Wireless control through Android/ ios devices.Predator: In-game video recording.Supports multi-GPU setups.Military Class certified Components:Certified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.",NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,279 mm,NONE,256-Bit,8GB,GDDR5,GTX 1070 TI ARMOR 8G,4,OpenGL 4.5,NONE,NONE,NONE,6-Pin / 8-Pin,2-Way SLI,NONE,Dual Slot,POWER CONSUMPTION: 180WRECOMMENDED PSU: 500W,180W,Yes,-8,278.892,139.954,1683.0,1607.0,8008.0,8.0
PNY,GTX 1070,PNY GeForce GTX 1070 DirectX 12 VCGGTX10708XGPB-OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support XLR8 Gaming OC Edition Video Card,299.99,4.0,,https://www.newegg.com/pny-geforce-gtx-1070-vcggtx10708xgpb-oc/p/N82E16814133632?Description=gtx,1797 MHz,PNY,1920,"11.50"" x 4.38""",NVIDIA,Triple Fans,1607 MHz,1 x DL-DVI-D,26-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8 Gbps,Factory OverclockedPNY Silent XLR8 Triple CoolerSimultaneous Multi-ProjectionVR ReadyNVIDIA Ansel SupportNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 SupportVulkan API SupportOpen GL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320 @ 60Hz3 x DisplayPort 1.4HDMI 2.0bDL-DVI,NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,293 mm,7680 x 4320,256-Bit,8GB,GDDR5,VCGGTX10708XGPB-OC,4,OpenGL 4.5,"Microsoft Windows 10, Windows 8, Windows 7, Linux, FreeBSDx86",NONE,NONE,8-Pin,SLI HB Bridge Supported,NONE,Dual Slot,TDP: 150WPCI Express-compliant motherboard with one double-width x16 graphics slotOne 8-pin PCI Express supplementary power connectorMinimum 500W or greater system power supply300MB of available hard-disk space2GB system memory (4GB or higher recommended)DVD-ROM drive and Internet connection,150W,Yes,292 (90% Positive),292.1,111.252,1797.0,1607.0,8.0,292.0
EVGA,GTX 1070,"EVGA GeForce GTX 1070 FTW GAMING ACX 3.0, 08G-P4-6276-KR, 8GB GDDR5, RGB LED, 10CM FAN, 10 Power Phases, Double BIOS, DX12 OSD Support (PXOC) Video Graphics Card",625.0,5.0,,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-6276-kr/p/1FT-001K-00146?Description=gtx,NONE,EVGA,1920,"10.50"" x 5.06""",NVIDIA,Double Fans,1607 MHz,1 x Dual-Link DVI-D,13-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"EVGA Double BIOS  Simultaneous Multi-Projection  VR Ready  NVIDIA Ansel  NVIDIA SLI w/ HB Bridge Support  NVIDIA G-SYNC  NVIDIA GameStream  NVIDIA GPU Boost 3.0  Microsoft DirectX 12  Vulkan API  OpenGL 4.5 Support  PCI Express 3.0  Max Digital Resolution - 7680 x 4320  HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI  Built for EVGA Precision XOC  EVGA ACX 3.0 Cooling  10 Phase Power Design  Adjustable RGB LED",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6276-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",GTX 1070 FTW ACX3.0,NONE,2 x 8-Pin,2-Way SLI,NONE,Dual Slot,"500W or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",150W,Yes,-1,266.7,128.524,0.0,1607.0,8008.0,1.0
ZOTAC,GTX 1070,ZOTAC GeForce GTX 1070 Ti DirectX 12 ZT-P10710C-10P 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card - AMP! Edition,680.0,5.0,,https://www.newegg.com/zotac-geforce-gtx-1070-ti-zt-p10710c-10p/p/N82E16814500430?Description=gtx,1683 MHz,ZOTAC,2432,"11.80"" x 5.83""",NVIDIA,Double Fans,1607 MHz,1 x DL-DVI-D,9-Sep-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8 GHz,IceStormPowerBoostSPECTRA LED LightingVR ReadySimultaneous Multi-ProjectionNVIDIA AnselNVIDIA G-SyncNVIDIA GameStreamVulkan APIOne-Click OC,NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,300 mm,NONE,256-Bit,8GB,GDDR5,ZT-P10710C-10P,4,OpenGL 4.5,Microsoft Windows 10/8/7 x86/x64,NONE,ZOTAC GeForce GTX 1070 Ti AMP! Edition2 x Dual 6-pin to 8-pin power cableUser ManualDriver Disk,2 x 8-Pin,Yes - SLI HB Bridge Supported,NONE,Dual Slot,500-watt power supply recommended180-watt max power consumptionDual 8-pin PCI Express power connectors,180W,Yes,-11,299.72,148.082,1683.0,1607.0,8.0,11.0
GIGABYTE,GTX 1070,"GIGABYTE AORUS GeForce GTX 1070 8GB Video Card, GV-N1070AORUS-8GD R2",620.0,5.0,,https://www.newegg.com/gigabyte-geforce-gtx-1070-gv-n1070aorus-8gd-r2/p/N82E16814125956?Description=gtx,1835 MHz (OC Mode)1797 MHz (Gaming Mode),GIGABYTE,1920,"11.30"" x 5.51""",NVIDIA,WINDFORCE STACK,1632 MHz (OC Mode)1607 MHz (Gaming Mode),1 x Dual-Link DVI-D,18-Mar-19,DirectX 12,3 x DisplayPort,Yes,NONE,8008 MHz,Powered by GeForce GTX 1070WINDFORCE Stack 3 x 100mm fan cooling systemAORUS VR Link provides the best VR experienceAdvanced Copper Back Plate CoolingRGB fusion - 16.7M customizable color lightingStylish Metal Back PlateTitan X-grade Chokes and Capacitors for Extreme DurabilityIntuitive AORUS Graphics Engine,ATX,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,3 x HDMI,PCI Express 3.0 x16,NONE,287 mm,7680 x 4320,256-Bit,8GB,GDDR5X,GV-N1070AORUS-8GD R2,4,OpenGL 4.5,NONE,NONE,Accessories:Graphics card quick guideAORUS metal stickerDriver CD,1 x 6-Pin1 x 8-Pin,2-Way SLI,AORUS,Triple Slot,System PSU Limitation: 500W,150W,Yes,-6,287.02,139.954,1835.0,1632.0,8008.0,6.0
ZOTAC,GTX 1070,"ZOTAC GeForce GTX 1070 Mini, ZT-P10700G-10M, 8GB GDDR5",279.99,4.0,,https://www.newegg.com/zotac-geforce-gtx-1070-zt-p10700g-10m/p/N82E16814500408?Description=gtx,1708 MHz,ZOTAC,1920,"8.27"" x 4.80""",NVIDIA,Double Fans,1518 MHz,1 x DL-DVI-D,26-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8000 MHz,"""Take on todays most challenging, graphics-intensive games without missing a beat. The GeForce GTX 1070 graphics card delivers the incredible speed and power of NVIDIA Pascal - the most advanced GPU ever created. This is the ultimate gaming platform.The same immense power is now contained in just above 8 inches - perfect for any mini-ITX build. Size and power need no compromise.""",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,210 mm,NONE,256-Bit,8GB,GDDR5,ZT-P10700G-10M,4,OpenGL 4.5,Windows 10 / 8 / 7,NONE,Accessories:Dual 6-pin to 8-pin PCIe adapterDriver DiskUser Manual,8-Pin,"Yes, SLI HB Bridge Supported",NONE,Dual Slot,Recommended Power Supply: 500WPower Consumption: 150W,150W,Yes,292 (90% Positive),210.058,121.92,1708.0,1518.0,8000.0,292.0
GIGABYTE,GTX 1070,GIGABYTE GeForce GTX 1070 Ti DirectX 12 AORUS 8GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,685.0,5.0,,https://www.newegg.com/gigabyte-geforce-gtx-1070-ti-gv-n107taorus-8gd/p/N82E16814932029?Description=gtx,OC Mode: 1771 MHzGaming Mode: 1683 MHz,GIGABYTE,2432,"11.02"" x 4.49""",NVIDIA,WINDFORCE 3X,OC Mode: 1683 MHzGaming Mode: 1607 MHz,1 x Dual-link DVI-D,28-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,Powered by GeForce GTX 1070 TiIntegrated with 8GB GDDR5 256-bit memoryWINDFORCE 3X with Blade Fan DesignAdvanced Copper Back Plate CoolingRGB Fusion-16.7M customizable color lightingExtreme overclocking with 6+2 power phases,ATX,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,280 mm,7680 x 4320,256-Bit,8GB,GDDR5,GV-N107TAORUS-8GD,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,2-Way SLI,AORUS,Dual Slot,Recommended PSU: 500W,180W,Yes,-6,279.908,114.046,1771.0,1683.0,8008.0,6.0
ZOTAC,GTX 1070,ZOTAC GeForce GTX 1070 Ti DirectX 12 ZT-P10710B-10P 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card - AMP! EXTREME Edition,680.0,4.0,,https://www.newegg.com/zotac-geforce-gtx-1070-ti-zt-p10710b-10p/p/N82E16814500429?Description=gtx,1683 MHz,ZOTAC,2432,"12.80"" x 5.83""",NVIDIA,Triple Fans,1607 MHz,1 x DL-DVI-D,15-Jan-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8 GHz,IceStorm Cooling with EKO FansMetallic ExoArmor with wraparound backplatePowerBoostVR READY and GAME READYSPECTRA LED Lighting System,NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,325 mm,NONE,256-Bit,8GB,GDDR5,ZT-P10710B-10P,4,OpenGL 4.5,Microsoft Windows 10/8/7 x86/x64,NONE,ZOTAC GeForce GTX 1070 Ti AMP! Extreme2 x Dual 6-pin to 8-pin mesh wrapped power cableUser ManualDriver Disk,2 x 8-Pin,"Yes, SLI HB Bridge Supported",NONE,2.5 slots,500-watt power supply recommended180-watt max power consumption,180W,Yes,-21,325.12,148.082,1683.0,1607.0,8.0,21.0
MSI,GTX 1070,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti GAMING 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,695.0,,,https://www.newegg.com/msi-geforce-gtx-1070-ti-gtx-1070-ti-gaming-8g/p/1FT-007W-00003?Description=gtx,1683 MHz,MSI,2432,NONE,NVIDIA,Double Fans,1607 MHz,1 x DVI,16-Jan-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"TWIN FROZR VI - Smooth heat pipes - Squared shape at bottom maximize heat transfer from the copper base plate - Zero Frozr - Stopping the fan in low-load situations, keeping a noise-free environment - Airflow Control technology - Deflectors thrusts air onto heat pipes for lower temperatures and better gaming  TORX 2.0 FAN: Supremely silent - Dispersion fan blade: Steeper curved blade accelerating the airflow - Traditional fan blade: Provides steady airflow to massive heat sink below - Double ball bearing: Strong and lasting core for years of smooth gaming  Military Class certified Components - Certified to MIL-STD-810G standards for top stability and quality - Built with Hi-c CAP, Solid CAP, and New SFC components",NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,NONE,NONE,256-Bit,8GB,GDDR5,GTX 1070 Ti GAMING 8G,4,OpenGL 4.5,NONE,NONE,NONE,"1 x 6-pin, 1 x 8-pin",2-Way SLI,NONE,NONE,Power Consumption: 180W Recommended PSU: 500W,180W,Yes,0 reviews,0.0,0.0,1683.0,1607.0,8008.0,0.0
