3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mac Edition ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Shader Clock ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
,['1936 MHz (OC Mode)1898 MHz (Gaming Mode)'],['ASUS'],['2560'],"['11.73"" x 5.28""']",['NVIDIA'],['Triple Fans'],['1784 MHz (OC Mode)1759 MHz (Gaming Mode)'],['1 x DVI-D'],"['November 09, 2018']",['DirectX 12'],['2 x DisplayPort'],['Yes'],,['10000 MHz'],"['ASUS ROG Strix GeForce GTX 1080 outshines the competition- 1936 MHz engine clock for outstanding performance and gaming experience.- DirectCU III with Patented Wing-Blade Fans delivers 30% cooler and 3X quieter performance.- ASUS FanConnect features 4-pin GPU-controlled headers connected to system fans for optimal thermal performance.- Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.- Aura RGB Lighting with Modular Shroud to express personalized gaming style.- VR-friendly HDMI ports for immersive virtual reality experiences.- GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and lets you stream your gameplay instantly.- NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.- NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x HDMI 2.0'],['PCI Express 3.0'],,['298 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['STRIX-GTX1080-O8G-GAMING'],['4'],['OpenGL 4.5'],,,,['6-Pin / 8-Pin'],,['2-Way SLI'],['ROG'],,['Dual Slot'],,"['Power Consumption: up to 300W, additional 6+8 pin PCIe power required']",['180W'],['Yes'],(84)
,['1860 MHz'],['EVGA'],['2560'],"['10.50"" x 5.06""']",['NVIDIA'],['Hybrid Cooler'],['1721 MHz'],['1 x Dual-Link DVI-D'],"['May 17, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10000 MHz'],"['EVGA Double BIOSSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC10 Phase Power DesignAdjustable RGB LED']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],,,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['08G-P4-6299-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['Two available 8-pin or 6+2pin PCI-E power dongles'],,,,,['Dual Slot'],,"['500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['180W'],['Yes'],(7)
,['1847 MHz'],['EVGA'],['2560'],"['10.50"" x 4.38""']",['NVIDIA'],['iCX'],['1708 MHz'],['1 x DualLink DVI-D'],"['December 04, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10010 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.6 SupportHDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous FansGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipation']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['08G-P4-6583-KR'],['4'],['OpenGL 4.6'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['8-Pin'],,['SLI Ready'],,,['Dual Slot'],,['Minimum of a 500W power supplyOne available 8-pin PCI-E power dongleTotal Power Draw: 180W'],['180W'],['Yes'],(34)
,['1860 MHz'],['EVGA'],['2560'],"['10.50"" x 5.07""']",['NVIDIA'],['iCX'],['1721 MHz'],['1 x Dual-Link DVI-D'],"['May 16, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10010 MHz'],"['EVGA Double BIOSSimultaneous MultiProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA GSYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportHDMI 2.0b, DisplayPort 1.4 and DualLink DVIBuilt for EVGA Precision XOC10 Phase Power DesignAdjustable RGB LEDAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with Lshaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['08G-P4-6686-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['2 x 8-Pin'],,['SLI Ready'],,,['Dual Slot'],,['Minimum of a 500W power supplyTotal Power Draw: 215 Watts'],['180W'],['Yes'],(65)
,['1733 MHz'],['EVGA'],['2560'],"['10.50"" x 4.38""']",['NVIDIA'],['Single Fan'],['1607 MHz'],['1 x Dual-Link DVI-D'],"['February 13, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10000 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI-DBuilt for EVGA PrecisionX OC']",,['GeForce GTX 1080 FE'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['08G-P4-6180-RX'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,"['500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",,['Yes'],291 (90% Positive)
,['1733 MHz'],['MSI'],['2560'],"['10.50"" x 4.38""']",['NVIDIA'],['Blower'],['1607 MHz'],['1 x Dual-link DVI-D'],"['December 06, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10000 MHz'],['All Solid Capacitors- 10 years ultra-long lifetime (under full load).- Lower temperature and higher efficiency.- Aluminum core for higher stability.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX 12 benchmark.- Supports multi-GPU setups.'],,['GeForce GTX 1080 FE'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['GEFORCE GTX 1080 Founders Edition'],['4'],['OpenGL 4.5'],['Windows 10 / 8 / 7 / Vista'],,,['8-Pin'],,['SLI Ready'],,,['Dual Slot'],,['Power consumption: 180WRecommended PSU: 500W'],,['Yes'],(16)
,['N/A'],['EVGA'],['3584'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1556 MHz'],['1 x Dual-Link DVI-D'],"['May 16, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11000 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportMax Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6593-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",['GTX 1080 Ti SC2'],,['1 x 8-Pin & 1 x 6-Pin'],,['2-Way SLI'],,,['Dual Slot'],,"['600 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],['Yes'],(82)
,['1733 MHz'],['ZOTAC'],['2560'],"['10.50"" x 4.38""']",['NVIDIA'],['Blower'],['1607 MHz'],['1 x Dual-link DVI-D'],"['January 21, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10000 MHz'],"[""NVIDIA's flagship GeForce GTX 1080 is the most advanced gaming GPU ever created, powered by the high-performance, energy-efficient new NVIDIA Pascal architecture. Pascal enables truly game-changing performance with captivating sights and sounds, as well as next-generation VR performance that offers the lowest latency and plug-and-play compatibility with leading headsets.""]",,['GeForce GTX 1080 FE'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,,['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['ZT-P10800A-10P'],['4'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,['Accessories:Dual 6-pin to 8-pin PCIe adapterDriver DiskUser Manual'],['8-Pin'],,['SLI Ready'],,,['Dual Slot'],,['Recommended Power Supply: 500WPower Consumption: 180W'],,['Yes'],(23)
,['1759 MHz'],['ZOTAC'],['2560'],"['8.31"" x 4.92""']",['NVIDIA'],['Double Fans'],['1620 MHz'],['1 x DL-DVI-D'],"['December 04, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10 GHz'],['NVIDIA GameWorks technologyNVIDIA VRWorks technologyNVIDIA G-Sync readyNVIDIA Ansel technologyNVIDIA SLI readyGame Ready DriversLED Lighting'],,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['211 mm'],,['256-Bit'],['8GB'],['GDDR5X'],['ZT-P10800H-10P'],['4'],['OpenGL 4.5'],['Microsoft Windows 10 / 8 / 7'],,['Accessories:Dual 6-pin to 8-pin PCIe adapterDriver DiskUser Manual'],['8-Pin'],,"['Yes, SLI HB Bridge Supported']",,,['Dual Slot'],,['Recommended Power Supply: 500WPower Consumption: 180W'],['180W'],['Yes'],(53)
,['1911 MHz'],['ZOTAC'],['2560'],"['12.80"" x 5.83""']",['NVIDIA'],['Triple Fan IceStorm'],['1771 MHz'],['1 x DL-DVI'],"['January 25, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10.8 GHz'],"['IceStorm Cooling- Variably configured copper heatpipes (4 x 8mm, 2 x 6mm) - Massive wide array aluminum fin stack Metal Carbon ExoArmor- Full Metal front and back protection with a metal front shroud and a metal wraparound backplate enhancing coverage and unifying design- Detailed with carbon fiber utilizing a water transfer printing process- The rigid metal help reduce vibrations which also help reduce noiseSpectra lighting system- LED lighting on the front. - Select from up to 7 colors + off- up to 8 levels of brightness- 4 lighting modes: Static, Breathe, Strobe, and CycleEKO Fans- Push up to 30% more airflow- Up to 15% more downward pressure- Patented dual-blade design- Reduction in deadzone, allowing more airflow coverage than ever beforePowerBoost-  Special capacitors with high temperature and power resistance. - Benefit of reducing noise and power ripples to ensure a smoother inflow of power for high speed stability. Freeze- Fan stop automatically starts or stops the fans- Extend the life of the fans- Reduce noise performance']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['325 mm'],,['256-Bit'],['8GB'],['GDDR5X'],['ZT-P10800B-10P'],['4'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,['Accessories:2 x Black mesh wrapped Dual 6-pin to 8-pin PCIe adapterDriver DiskUser Manual'],['2 x 8-Pin'],,['2-Way SLI'],,,['2.5 slots'],,['Recommended Power Supply: 500WPower Consumption: 270W'],['180W'],['Yes'],(45)
,['1733 MHz'],['PNY'],['2560'],"['10.50"" x 4.38""']",['NVIDIA'],['Single Fan'],['1607 MHz'],['1 x DL-DVI-D'],"['January 09, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10 Gbps'],['Simultaneous Multi-ProjectionVR ReadyNVIDIA Ansel SupportNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 SupportVulkan API SupportOpen GL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680x4320@60Hz*Display Connectors:3 x DisplayPort 1.4HDMI 2.0bDL-DVI* 7680x4320@60Hz RGB 8-bit with dual DisplayPort connectors or 7680x4320@60Hz YUV420 8-bit with DisplayPort 1.3 connector.'],,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['VCGGTX10808PB'],,['OpenGL 4.5'],,,,['8-Pin'],,['SLI HB Bridge Supported'],,,['Dual Slot'],,"['TDP: 180WMinimum System Requirements:PCI Express-compliant motherboard with one dual-width x16 graphics slotOne 8-pin PCI Express supplementary power connectorsMinimum 500W or greater system power supply*300MB of available hard-disk space2GB system memory (4GB or higher recommended)Windows 7-10, Linux, FreeBSDx86DVD-ROM drive and Internet connection*** Recommendation is made based on PC configured with an Intel Core i7 3.2 GHz processor. Pre-built system may require less power depending on system configuration.** Graphics Card driver is not included in the box; GeForce Experience will download the latest GeForce driver from the Internet after install.']",['180W'],['Yes'],(2)
,['1822 MHz'],['ZOTAC'],['2560'],"['11.81"" x 5.83""']",['NVIDIA'],['Dual Fan IceStorm'],['1683 MHz'],['1 x DL-DVI-D'],"['December 04, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10 GHz'],['SPECTRA lighting systemIceStorm with ExoArmorPOWERBOOSTFREEZESimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SyncNVIDIA GameStream'],,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['300 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['ZT-P10800C-10P'],['4'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,['Accessories:2 x Dual 6-pin to 8-pin PCIe adapterDriver DiskUser Manual'],['2 x 8-Pin'],,"['Yes, SLI HB Bridge Supported']",,,['Dual Slot'],,['Recommended Power Supply: 500WPower Consumption: 230W'],['180W'],['Yes'],(37)
,['1733 MHz'],['EVGA'],['2560'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1607 MHz'],['1 x Dual-Link DVI-D'],"['October 03, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10000 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA PrecisionX OC']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['08G-P4-6181-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,"['500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['180W'],['Yes'],(16)
,['1733 MHz'],['EVGA'],['2560'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1607 MHz'],['1 x Dual-Link DVI-D'],"['November 16, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10000 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['08G-P4-5180-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['8-Pin'],,['SLI Ready'],,,['Dual Slot'],,"['500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['180W'],['Yes'],(11)
,['1847 MHz'],['MSI'],,"['12.28"" x 5.51""']",['NVIDIA'],['Triple Fans'],['1708 MHz'],['1 x DL-DVI-D'],"['March 11, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10108 MHz'],['Virtual Reality ReadyDirectX 12 ReadyGreat for 4KGamestream to NVIDIA SHIELD'],,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['312 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['GeForce GTX 1080 DUKE 8G'],['4'],['OpenGL 4.5'],,,,,,['2-Way SLI'],,,['Dual Slot'],,['Power consumption: 180WRecommended PSU: 500W'],['180W'],['Yes'],(12)
,['N/A'],['ZOTAC'],['3584'],"['12.80"" x 5.83""']",['NVIDIA'],['3 x 90mm fans'],['1607 MHz'],['1 x DL-DVI-D'],"['January 17, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11.2 GHz'],['IceStorm with Metallic ExoArmorPowerBoostFREEZE Fan StopSPECTRA Lighting16 + 2 Power PhasesVR ReadySimultaneous Multi-ProjectionNVIDIA AnselNVIDIA G-SyncNVIDIA GameStreamVulkan API'],,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['325 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['ZT-P10810F-10P'],['4'],['OpenGL 4.5'],['Windows 10 / 8 / 7 (32-bit and 64-bit)'],['AMP! Extreme Core'],['Accessories:2 x Dual 6-pin to 8-pin mesh wrapped power cableUser manualDriver Disk'],['2 x 8-Pin'],,['2-way. HB SLI Bridge compatible'],,,['2.5 slots'],,['Recommended Power Supply: 600WPower Consumption: 320W'],['250W'],['Yes'],(26)
,,['MSI'],,,['NVIDIA'],['Single Fan'],,,"['November 15, 2019']",['DirectX 12OpenGL 4.5'],['3'],,,,['DisplayPort:Yes'],['Plug-in Card'],['GTX 1080'],,,['1 x HDMI'],['PCI Express 3.0 x16'],,,,['352 bit'],['11 GB'],['GDDR5X'],['GTX 1080 TI AERO 11G'],,['DirectX 12OpenGL 4.5'],,,['VIDEO CARD ONLY => NOTHING ELSE! NO ACCESSORIES WHATSOEVER! VIDEO CARDCOMES IN PLAIN NON-RETAIL BOX!'],,,['SLI Ready'],,,,,,,,(1)
,['1759 MHz'],['ZOTAC'],['3584'],"['12.80"" x 5.83""']",['NVIDIA'],['3 x 90mm fans'],['1645 MHz'],['1 x DL-DVI-D'],"['January 17, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11.2 GHz'],['IceStorm with Metallic ExoArmorPowerBoostFREEZE Fan StopSPECTRA Lighting16 + 2 Power PhasesVR ReadySimultaneous Multi-ProjectionNVIDIA AnselNVIDIA G-SyncNVIDIA GameStreamVulkan API'],,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['325 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['ZT-P10810C-10P'],['4'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,['ZOTAC GeForce GTX 1080 Ti AMP Extreme2 x Dual 6-pin to 8-pin mesh wrapped power cableUser manualDriver Disk'],['2 x 8-Pin'],,['2-way. HB SLI Bridge compatible'],,,['2.5 slots'],,['Recommended Power Supply: 600W'],['250W'],['Yes'],(36)
,['1645 MHz'],['MSI'],['3584'],"['11.42"" x 5.63""']",['NVIDIA'],['Double Fans'],['1531 MHz'],['1 x DL-DVI-D'],"['November 15, 2018']",['DirectX 12'],['2 x DisplayPort'],['Yes'],,['11016 MHz'],"['Armor 2X Thermal Design:TORX Fan- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment.Advanced Airflow Control technology: Improves cooling efficiency by using advanced aerodynamics to focus airflow.Afterburner Overclocking Utility:Wireless control through Android/iOS devices.Predator: In-game video recording.Kombustor: DirectX12 benchmark.Supports multi-GPU setups.Military Class 4 Components:Certified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x HDMI'],['PCI Express 3.0 x16'],,['290 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['GeForce GTX 1080 TI ARMOR 11G OC'],['4'],['OpenGL 4.5'],,,,['2 x 8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,['250W Power consumptionRecommended PSU: 600W'],['250W'],['Yes'],(69)
,['1683 MHz'],['ZOTAC'],['3584'],"['11.81"" x 5.83""']",['NVIDIA'],['2 x 100mm fans'],['1569 MHz'],['1 x DL-DVI-D'],"['December 04, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11 GHz'],['IceStormPowerBoostFREEZE Fan StopSPECTRA LED Lighting16 + 2 Power PhaseVR ReadySimultaneous Multi-ProjectionNVIDIA AnselNVIDIA G-SyncNVIDIA GameStreamVulkan API'],,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['300 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['ZT-P10810D-10P'],['4'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,['ZOTAC GeForce GTX 1080 Ti AMP Edition2 x Dual 6-pin to 8-pin power cableUser manualDriver disk'],['2 x 8-Pin'],,['2-way. HB SLI Bridge compatible'],,,['Dual Slot'],,['Recommended Power Supply: 600WPower Consumption: 270W'],['250W'],['Yes'],(18)
,['1632 MHz (Lightning Mode)1620 MHz (Gaming Mode)1582 MHz (Silent Mode)'],['MSI'],['3584'],"['12.60"" x 5.51""']",['NVIDIA'],['Triple Fans'],['1518 MHz (Lightning Mode)1506 MHz (Gaming Mode)1480 MHz (Silent Mode)'],['1 x DL-DVI-D'],"['February 17, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],['Yes'],,['11124 MHz (Lightning / Gaming Mode)11016 MHz (Silent mode)'],"['TRI-FROZR Thermal Design- Using three of the award-winning TORX 2.0 Fans with Double Ball Bearings, the new LIGHTNING is once again the pinnacle of air cooling.Close Quarters Heat Pipe Cooling- Pipe down with heat pipes infused into the Close Quarters Heatsink and Backplate for greatly improved thermal performance.Legendary OC Potential- MSI LIGHTNING cards are designed from the ground up for extreme overclocking and extreme performance.Military Class 4 Components- Certified to MIL-STD-810G standardsfor top stability and quality.- Built with Hi-c CAP, Solid CAP, DrMOS and New SFC components.(*The actual allocation of supply may vary from different situation.)']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['320 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['GTX 1080 Ti LIGHTNING'],['4'],['OpenGL 4.5'],,,,['3 x 8-Pin'],,['2-Way SLI'],,,['2.5-slot'],,['Power consumption: 250WRecommended PSU: 750W'],['250W'],['Yes'],(6)
,['1797 MHz (OC Mode)1771 MHz (Gaming Mode)'],['GIGABYTE'],['2560'],"['11.02"" x 4.65""']",['NVIDIA'],['TURBO FAN'],['1657 MHz (OC Mode)1632 MHz (Gaming Mode)'],['1 x Dual-Link DVI-D'],"['January 16, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10010 MHz'],['Powered by GeForce GTX 1080Integrated with 8GB GDDR5X 256-bit memoryTurbo Fan Cooling SystemSupport up to 8K display @60HzOne-click overclockingIntuitive Xtreme Engine'],['ATX'],['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['280 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['GV-N1080TTOC-8GD'],['4'],['OpenGL 4.5'],,,,['8-Pin'],,['2-way SLI HB'],,,['Dual Slot'],,['System PSU Limitation: 500W'],['180W'],['Yes'],(32)
,['1733 MHz'],['GIGABYTE'],,,['NVIDIA'],['Single Fan'],['1607 MHz'],['1 x Dual-link DVI-D'],"['December 06, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10000 MHz'],"['Powered by NVIDIA GeForce GTX 1080Integrated with 8GB GDDR5X memory 256-bit memory interfaceNVIDIA GPU Boost 3.0Max Digital Resolution - 7680x4320@60HzDisplay Connectors -DP1.4, HDMI 2.0b, DL-DVI-D']",['ATX'],['GeForce GTX 1080 FE'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],,,['280 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['GV-N1080D5X-8GD-B'],['4'],['OpenGL 4.5'],,,,,,,,,"['11.02"" x 4.72""']",,['Recommended PSU: 500W'],,['Yes'],(11)
