3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,RoHS Compliant ,SLI Support ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Tuner ,Virtual Reality Ready ,review_numbers
['Yes'],['1076 MHz'],['EVGA'],['2816'],"['10.83"" x 4.33""']",['NVIDIA'],['Air Cooler'],['1000 MHz'],['1 x DVI'],"['August 23, 2020']",['DirectX 12'],['2 x DisplayPort'],['Yes'],['7010'],,['Plug-in CardFull-height'],['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['2 x HDMI'],['PCI Express 3.0 x16'],['No'],['275mm'],,['384-Bit'],['6GB'],,['06G-P4-3998-RX'],['Yes'],['OpenGL 4.4'],,['GTX 980 Ti VR Edition'],,,['6-Pin / 8-Pin'],,['Yes'],['4-Way SLI'],['Founders VR Edition'],['Dual Slot'],,,['260W'],,['Yes'],0 reviews
,['1367 MHz'],['EVGA'],['2048'],,['NVIDIA'],,['1266 MHz'],,"['June 17, 2020']",,,,,,,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,,['PCI Express 3.0 x16'],,,,,['4GB'],,['04G-P4-2983-KR'],,,,,,,,,,,,,,,,,,0 reviews
['Yes'],['1342 MHz'],['ASUS'],['2048'],"['11.70"" x 6.00""']",['NVIDIA'],['Double Fans'],['1241 MHz'],['1 x DVI'],"['December 17, 2018']",,['3 x DisplayPort 1.2'],['Yes'],['7010 MHz'],,,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0'],,,,['256-Bit'],['4GB'],['GDDR5'],['MATRIX-GTX980-P-4GD5'],['4'],['OpenGL 4.4'],,['Matrix GTX 980'],,,,,,['SLI Ready'],['ROG'],['Dual Slot'],,,['165W'],,['Yes'],0 reviews
['Yes'],['1075 MHz'],['ASUS'],['2816'],"['12.01"" x 5.99""']",['NVIDIA'],['Triple Fans'],['1000 MHz'],['1 x DVI'],"['May 15, 2020']",,['3 x DisplayPort'],['Yes'],['7010 MHz'],,,['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0'],,['305 mm'],['4096 x 2160'],['384-Bit'],['6GB'],['GDDR5'],['STRIX-GTX980TI-DC3-6GD5-GAMING'],,['OpenGL 4.5'],,['Strix GTX 980 Ti'],,,['2 x 8-Pin'],,,['SLI Ready'],,['Dual Slot'],,['Power Consumption: up to 375W'],['260W'],,['Yes'],0 reviews
,['1216 MHz'],['EVGA'],['2048'],"['10.50"" x 4.38""']",['NVIDIA'],,['1126 MHz'],['1 x DVI-I'],"['December 14, 2018']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz'],,,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0'],,,,['256-Bit'],['4GB'],['GDDR5'],['04G-P4-1980-KR'],['4'],['OpenGL 4.4'],"['Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",['GTX 980 Reference'],,,['2 x 6-Pin'],,,['SLI Ready'],,['Dual Slot'],,"['500 Watt or greater power supply.**** PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.  ****Minimum system power requirement based on a PC configured with an Intel Core i7 3.2GHz processor.']",['165W'],,['Yes'],0 reviews
,['1367 MHz'],['EVGA'],['2048'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1266 MHz'],['1 x DVI'],"['December 03, 2018']",['DirectX 12'],['3 x DisplayPort'],['Yes'],,,,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['04G-P4-2983-KR'],,['OpenGL 4.4'],,['GTX 980 SC ACX 2.0'],,,['2 x 6-Pin'],,,['SLI Ready'],,['Dual Slot'],,['Minimum 500W Power Supply'],['165W'],,['Yes'],291 (90% Positive)
['Yes'],['1190 MHz'],['EVGA'],['2816'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1102 MHz'],['1 x DVI'],"['March 11, 2019']",['DirectX 12'],['3 x DisplayPort 1.2'],['Yes'],['7010 MHz'],,,['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,,['4096 x 2160'],['384-Bit'],['6GB'],['GDDR5'],,['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",['GTX 980 Ti SC+ ACX 2.0+ w/ BP'],,,['6-Pin / 8-Pin'],['400MHz'],,['SLI Ready'],,['Dual Slot'],,['Max Power Draw: 250W Recommended PSU: 600W'],['260W'],,['Yes'],0 reviews
,['1342 MHz'],['EVGA'],['2048'],,['NVIDIA'],['Single Fan'],['1241 MHz'],,"['February 22, 2019']",,,,,,,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,,['PCI Express 3.0'],,,,,['4GB'],,['04G-P4-2982-KR'],,,,,,,['2 x 6-Pin'],,,,,,,['Minimum 500W Power Supply'],,,['Yes'],0 reviews
,['1216 MHz'],['PNY'],['2048'],,['NVIDIA'],['With Fan'],['1126 MHz'],['1 x DVI'],"['May 09, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7000 MHz'],,,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['VCGGTX9804XPB-CG'],,['OpenGL 4.4'],,,,,['2 x 6-Pin'],,,['SLI Ready'],,['Dual Slot'],,['Minimun 500W Power Supply'],['165W'],,['Yes'],29 (90% Positive)
['Yes'],['980 MHz'],['PNY'],['1344'],,['NVIDIA'],['With Fan'],['915 MHz'],['2 x DVI'],"['June 19, 2017']",['DirectX 11'],['1 x DisplayPort'],['Yes'],,,,['GeForce GTX 660 Ti'],['NVIDIA GeForce GTX 600 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0 x16'],,,,['192-Bit'],['2GB'],['GDDR5'],['VCGGTX660TXPB'],,['OpenGL 4.2'],,,,,['2 x 6-Pin'],['400MHz'],,['SLI Ready'],,['Dual Slot'],,,['150W'],,,0 reviews
